관련도,연도,파일명,감사사항,감사종류,감사분야,담당부서,총매칭수,매칭키워드,첫매칭쪽,쪽수,발췌,경로
높음,2026,20260223_코로나19 대응실태 진단 및 분석.pdf,코로나19 대응실태 진단 및 분석,성과,보건/복지,사회복지3과,127,"정보화사업(1), 전산시스템(1), 정보시스템(122), 시스템운영(3)",10,571,···············199[그림22]질병청의감염병관리통합정보시스템구축·운영현황····························,2_높음\20260223_코로나19 대응실태 진단 및 분석.pdf
높음,2023,20230531_2022회계연도 국가결산검사.zip,2022회계연도 국가결산검사 ,재무,기타,,125,"정보화사업(7), 전산시스템(7), 정보시스템(99), 시스템운영(10), 시스템유지관리(2)",11,1569,시이전기관종사자주택특별공급점검2462.고위공직자범죄수사처형사사법정보시스템연계추진실태253[부록1]국가기관감사결과현황259총괄259소,2_높음\20230531_2022회계연도 국가결산검사.zip
높음,2026,20260529_2025회계연도 국가결산검사.zip,2025회계연도 국가결산검사,재무,재정,재정회계2과,119,"정보화사업(14), 전산시스템(6), 정보시스템(85), 시스템운영(13), 시스템유지관리(1)",10,1870,"지방공항건설사업추진실태(SOCⅣ공항-①,②,③)323.대국민행정정보시스템구축·운영실태484.정부평가제도운영관리실태575.상하수도분야국고",2_높음\20260529_2025회계연도 국가결산검사.zip
높음,2018,20180628_공공데이터 구축 및 활용실태.pdf,공공데이터 구축 및 활용실태,특정사안,정보통신,미래전략감사2과,107,"정보화사업(13), 전산시스템(1), 정보시스템(87), 시스템운영(4), 시스템유지관리(2)",2,235,만및운영ㆍ관리부적정(징계ㆍ주의ㆍ통보)···12(2)차세대전력판매정보시스템구축관련향응수수및감독ㆍ준공업무부당처리[문책ㆍ통보(비위)ㆍ통보]·,2_높음\20180628_공공데이터 구축 및 활용실태.pdf
높음,2016,20160229_행정자치부·인사혁신처 기관운영감사.hwp,행정자치부·인사혁신처 기관운영감사,기관정기,기타,행정안전1과,106,"정보화사업(28), 전산시스템(1), 정보시스템(48), 시스템운영(1), 시스템유지관리(28)",64,4052,지역정보화사업사전협의제도운영부적정(통보),2_높음\20160229_행정자치부·인사혁신처 기관운영감사.hwp
높음,2021,20210531_2020회계연도 국가결산검사.zip,2020회계연도 국가결산검사,재무,기타,,95,"정보화사업(9), 전산시스템(7), 정보시스템(56), 시스템운영(17), 시스템유지관리(6)",20,2057,"47천원)에대하여입찰공고기간의적정성을확인한결과,“2020년정보화시스템유지관리사업계약체결의뢰”(계약금액3,965,454천원)의경우32일(20",2_높음\20210531_2020회계연도 국가결산검사.zip
높음,2022,20220531_2021회계연도 국가결산검사.zip,2021회계연도 국가결산검사,재무,재정,,93,"정보화사업(8), 전산시스템(2), 정보시스템(73), 시스템운영(8), 시스템유지관리(2)",27,1653,용역”의경우공수처는2022.6.30.사업완료예정인“공수처형사사법정보시스템구축사업”이완료될경우해당ㅇㅇ용역을공수처형사사법정보시스템유지관리용,2_높음\20220531_2021회계연도 국가결산검사.zip
높음,2019,20191031_보건복지부 기관운영감사.pdf,보건복지부 기관운영감사,기관정기,보건/복지,사회복지1과,93,"정보시스템(91), 시스템운영(2)",90,130,"40028노인정책과중앙모니터링센터및통합독거노인·중증장애인응급안전시스템운영위탁사회보장정보원516,69029보육정책과아동학대예방을위한신고독",2_높음\20191031_보건복지부 기관운영감사.pdf
높음,2022,20220609_지방자치단체 소극행정 실태 점검.pdf,지방자치단체 소극행정 실태 점검,특정사안,지방자치단체,,91,"전산시스템(4), 정보시스템(85), 시스템운영(2)",15,330,경우｢지방자치법｣제166조에따라권고․지원이가능하므로불합리한규정및전산시스템을개선하는등의역할을기대할수있다.[그림2]지방자치단체사무에따른중앙,2_높음\20220609_지방자치단체 소극행정 실태 점검.pdf
높음,2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ,특정사안,기타,공공기관1과,88,"정보화사업(30), 전산시스템(7), 정보시스템(41), 시스템운영(5), 시스템유지관리(5)",9,476,"이규정되어있다.한편,정부는계약관련불공정행위예방을위해“건설산업지식정보시스템(KISCON:KnowledgeInformationSystemo",2_높음\20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip
높음,2019,20190227_공공데이터 활용 및 품질관리 실태.pdf,공공데이터 활용 및 품질관리 실태,특정사안,정보통신,미래전략감사2과,84,"정보화사업(2), 정보시스템(82)",3,109,"-1-Ⅰ감사실시개요1.감사배경및목적정부는행정업무의전자적처리를위해정보화사업을지속적으로추진하고있으며,그동안축적된공공데이터를효율적ㆍ효과적으로",2_높음\20190227_공공데이터 활용 및 품질관리 실태.pdf
높음,2025,20250415_재외공관 등 운영실태.pdf,재외공관 등 운영실태,특정사안,외교,외교국방1과,79,"정보시스템(77), 시스템운영(2)",5,111,··························12[그림4]사증정보시스템비자접수란······························,2_높음\20250415_재외공관 등 운영실태.pdf
높음,2016,20161102_자격·인증 관리실태 점검.zip,자격·인증 관리실태 점검,특정사안,산업자원,,79,"정보시스템(48), 시스템운영(8), 시스템유지관리(23)",23,8555,(5)“정보시스템운영및유지관리용역”낙찰자선정업무부당처리(문책)63,2_높음\20161102_자격·인증 관리실태 점검.zip
높음,2018,20181206_소상공인 지원시책 추진실태.zip,소상공인 지원시책 추진실태,특정사안,기타,산업금융1과,77,"정보시스템(67), 시스템운영(10)",4,124,··························42[표29]상권정보시스템주요기능·······························,2_높음\20181206_소상공인 지원시책 추진실태.zip
높음,2021,20211221_외항 화물 운송사업 지원 및 관리실태.pdf,외항 화물 운송사업 지원 및 관리실태,성과,해양,국토환경3과,76,"전산시스템(14), 정보시스템(59), 시스템운영(3)",3,95,·····················28[표19]연도별해운종합정보시스템개선사업추진경과···························,2_높음\20211221_외항 화물 운송사업 지원 및 관리실태.pdf
높음,2021,20211013_한국교육학술정보원 정기감사.pdf,한국교육학술정보원 정기감사,기관정기,교육,사회복지4과,76,"정보화사업(3), 정보시스템(38), 시스템운영(27), 시스템유지관리(8)",3,81,"을대상으로인사·복무관리의적정성,예산집행의적정성,주요사업분야인교육정보화사업수행의적정성등을점검하고개선방안을제시하는데중점을두었다.3.감사실시",2_높음\20211013_한국교육학술정보원 정기감사.pdf
높음,2025,20250417_주요 국가통계 작성 및 활용실태.pdf,주요 국가통계 작성 및 활용실태,특정사안,기타,재정경제3과,72,"전산시스템(65), 정보시스템(3), 시스템유지관리(4)",33,908,조사대상월의익월15일에‘주택가격동향’이란이름으로부동산원부동산통계정보시스템(R-ONE)등에그결과를공표하고있다.공표되는통계지표는주간아파트가,2_높음\20250417_주요 국가통계 작성 및 활용실태.pdf
높음,2018,20181220_한국지역정보개발원 기관운영감사.zip,한국지역정보개발원 기관운영감사,기관정기,기타,행정안전1과,72,"정보화사업(9), 전산시스템(2), 정보시스템(24), 시스템운영(15), 시스템유지관리(22)",3,60,"제4조에따라행정안전부의허가를받아설립된비영리법인으로지방자치단체관련정보화사업을공동으로추진하고,전자지방정부구현을위한정책개발을지원함으로써지역간",2_높음\20181220_한국지역정보개발원 기관운영감사.zip
높음,2019,20190529_검역감염병 예방 및 관리실태.pdf,검역감염병 예방 및 관리실태,특정사안,보건/복지,사회복지1과,71,"정보시스템(64), 시스템운영(7)",2,142,·························59(4)스마트검역정보시스템운영부적정(통보)··························,2_높음\20190529_검역감염병 예방 및 관리실태.pdf
높음,2017,20170927_복지사업 재정지원 및 관리실태Ⅰ.pdf,복지사업 재정지원 및 관리실태Ⅰ,특정사안,보건/복지,사회복지1과,71,"정보시스템(70), 시스템운영(1)",2,102,능력있는생계급여수급자에대한조건부과유예관리부적정·49(7)사회보장정보시스템정보연계등시스템운영부적정················56(8)소,2_높음\20170927_복지사업 재정지원 및 관리실태Ⅰ.pdf
높음,2026,20260127_개인정보 보호 및 관리실태.pdf,개인정보 보호 및 관리실태,성과,정보통신,디지털감사3과,69,"정보시스템(42), 시스템운영(25), 시스템유지관리(2)",8,91,｣(개인정보위고시):개인정보위의조사및처분규정￭｢행정기관및공공기관정보시스템구축·운영지침｣(행정안전부고시):정보시스템구축·운영지침￭｢국가정,2_높음\20260127_개인정보 보호 및 관리실태.pdf
높음,2019,20191205_지자체 주요정책·사업 등 추진상황 특별 점검.zip,지자체 주요정책·사업 등 추진상황 특별 점검,특정사안,지방자치단체,지방행정1국2과,69,"정보시스템(68), 시스템운영(1)",2,131,세부개발계획결정업무부당처리(주의․통보)·····9(2)실시간주차정보시스템구축및준공업무태만[징계·주의·통보2·통보(시정완료)]··43(3,2_높음\20191205_지자체 주요정책·사업 등 추진상황 특별 점검.zip
높음,2019,20191030_정보공유 등 데이터기반 행정 추진 실태.pdf,정보공유 등 데이터기반 행정 추진 실태,특정사안,정보통신,미래전략감사2과,65,"정보화사업(1), 정보시스템(64)",2,63,······················82.통보사항(1)지방세정보시스템과세누락방지기능미흡(통보)·····················,2_높음\20191030_정보공유 등 데이터기반 행정 추진 실태.pdf
높음,2017,20170222_국가공간정보 데이터 구축 및 활용 실태.hwp,국가공간정보 데이터 구축 및 활용 실태,특정사안,정보통신,,65,"정보화사업(4), 전산시스템(1), 정보시스템(58), 시스템운영(2)",39,11317,(10)토양환경정보시스템구축및검사부적정(주의ㆍ통보),2_높음\20170222_국가공간정보 데이터 구축 및 활용 실태.hwp
높음,2016,20160418_국가 사이버안전 관리 실태.hwp,국가 사이버안전 관리 실태,특정사안,정보통신,,65,"정보화사업(5), 정보시스템(48), 시스템운영(12)",162,12278,[표60]금융분야주요정보시스템현황,2_높음\20160418_국가 사이버안전 관리 실태.hwp
높음,2017,20170927_복지사업 재정지원 및 관리실태Ⅱ.zip,복지사업 재정지원 및 관리실태Ⅱ,특정사안,보건/복지,사회복지2과,64,정보시스템(64),63,86,015년6월부터보건복지부의산하기관인사회보장정보원이운영하는사회보장정보시스템35)(이하“행복e음”이라한다)의변동알림기능을통해만65세가도래하,2_높음\20170927_복지사업 재정지원 및 관리실태Ⅱ.zip
높음,2021,20210624_복지사업 협의·조정제도 운영실태.pdf,복지사업 협의·조정제도 운영실태,성과,보건/복지,사회복지1과,62,정보시스템(62),3,108,·········14[표6]2018년에신설협의를거친사업의사회보장정보시스템입력현황(2019년7월기준)·18[표7]출산장려금지원사업운영지자,2_높음\20210624_복지사업 협의·조정제도 운영실태.pdf
높음,2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,재외공관에 대한 감사(비대면 시범감사),기관정기,외교,행정안전4과,61,"전산시스템(3), 정보시스템(45), 시스템운영(13)",2,87,··························14(2)통합사증정보시스템운영부적정(주의·통보)·······················,2_높음\20211019_재외공관에 대한 감사(비대면 시범감사).pdf
높음,2023,20230912_공적개발원조(ODA) 사업 추진실태.pdf,공적개발원조(ODA) 사업 추진실태,성과,외교,외교국방1과,56,"전산시스템(2), 정보시스템(53), 시스템운영(1)",6,114,"관련자료를수집하는한편,한국국제협력단의통합사업관리시스템(IPM)등전산시스템에서관련자료를추출·분석하였다.4.감사결과처리감사결과위법․부당사항",2_높음\20230912_공적개발원조(ODA) 사업 추진실태.pdf
높음,2025,20251023_재난 및 안전관리체계 점검.pdf,재난 및 안전관리체계 점검,성과,치안/법무,행정안전1과,55,"정보화사업(16), 전산시스템(1), 정보시스템(34), 시스템운영(4)",10,406,"등),②24시간재난안전상황실운영,③재난상황전파․공유체계(재난관리정보시스템,재난안전통신망등)등재난대비․대응업무전반[표3]10개지방자치단체",2_높음\20251023_재난 및 안전관리체계 점검.pdf
높음,2022,20220315_보훈특별고용 제도 운용실태.pdf,보훈특별고용 제도 운용실태,성과,국방,,53,"전산시스템(3), 정보시스템(50)",8,260,"감사에앞서취업지원과관련된연구보고서,언론보도,국회논의사항,통합보훈정보시스템등에저장된전산정보등기초자료를사전에분석하였으며,보훈특별고용추천자명",2_높음\20220315_보훈특별고용 제도 운용실태.pdf
높음,2021,20210706_이륜자동차 관리실태.pdf,이륜자동차 관리실태,성과,교통/물류,국토환경1과,52,"전산시스템(3), 정보시스템(48), 시스템운영(1)",3,74,·····················15[표17]이륜자동차관리정보시스템용역비현황······························,2_높음\20210706_이륜자동차 관리실태.pdf
높음,2026,20260319_조달청 정기감사.pdf,조달청 정기감사,기관정기,재정,재정경제1과,51,"정보시스템(26), 시스템운영(19), 시스템유지관리(6)",12,107,결해업무위탁등:조달청은법령에근거가없는데도퇴직자가재취업한기관에내부정보시스템유지·관리업무를수의계약으로위탁한후당초계획서등과다른수탁기관의용역업,2_높음\20260319_조달청 정기감사.pdf
높음,2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,한국보육진흥원 및 한국사회보장정보원에 대한 감사,기관정기,보건/복지,사회복지1과,49,"전산시스템(1), 정보시스템(46), 시스템운영(2)",3,89,사회복지사업에서급여요건에해당되는자를선정하거나발굴하는데있어필수적인전산시스템을운영하는곳이므로두기관의주요업무에대해점검할필요가있었다.이에감사원,2_높음\20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf
높음,2017,20171013_사망ㆍ실종ㆍ국외체류 정보관리 및 활용실태.zip,사망ㆍ실종ㆍ국외체류 정보관리 및 활용실태,특정사안,정보통신,,49,정보시스템(49),4,116,되고있었다.이에따라감사원은2017년연간감사계획에반영된｢의료ㆍ복지정보시스템구축및운영실태｣의테마감사의하나로사망(거주불명)ㆍ실종ㆍ국외체류정보,2_높음\20171013_사망ㆍ실종ㆍ국외체류 정보관리 및 활용실태.zip
높음,2025,20250619_국토교통부 기관정기감사.pdf,국토교통부 기관정기감사,기관정기,교통/물류,국토환경1과,48,"정보화사업(24), 전산시스템(1), 정보시스템(16), 시스템운영(7)",11,436,전성미래사회준비및경제활성화(경제활력)►SOC등대규모투자사업►국가정보화사업‧공공데이터구축►국가에너지정책►고등교육‧인력양성체계►국가연구개발,2_높음\20250619_국토교통부 기관정기감사.pdf
높음,2026,20260115_국토교통부 기관정기감사(별도처리).pdf,국토교통부 기관정기감사(별도처리),기관정기,건설/주택,국토환경1과,47,"전산시스템(4), 정보시스템(34), 시스템운영(9)",2,62,안미흡(통보)··················33(3)자동차관리정보시스템전산자료제공및관리소홀[주의·통보·통보(시정완료)]········,2_높음\20260115_국토교통부 기관정기감사(별도처리).pdf
높음,2017,20170309_주요 재정사업 유사·중복 통폐합 등 추진실태.hwp,주요 재정사업 유사·중복 통폐합 등 추진실태,특정사안,재정,재정경제1과,46,"정보화사업(1), 전산시스템(1), 정보시스템(25), 시스템운영(19)",2708,14368,국악원정보시스템환경구축(정보화),2_높음\20170309_주요 재정사업 유사·중복 통폐합 등 추진실태.hwp
높음,2019,20191119_보호대상아동 지원실태.pdf,보호대상아동 지원실태,성과,보건/복지,미래전략감사3과,43,"전산시스템(3), 정보시스템(36), 시스템운영(4)",11,129,tionCentralManagementSystem)▸국가아동학대정보시스템:학대정보시스템제1절보호대상아동현황1.보호대상아동개념｢아동복지법,2_높음\20191119_보호대상아동 지원실태.pdf
높음,2018,20180531_2017회계연도 국가결산 검사 및 감사활동 결과.zip,2017회계연도 국가결산 검사 및 감사활동 결과,기관정기,재정,,43,"정보화사업(3), 전산시스템(2), 정보시스템(9), 시스템운영(25), 시스템유지관리(4)",32,426,2감사결과확인된주요문제점은다음과같다.[재무제표분야]○운영지원과는전산시스템구축을위하여선지급한조달수수료를무형자산의취득원가에포함시킬수있도록자,2_높음\20180531_2017회계연도 국가결산 검사 및 감사활동 결과.zip
높음,2026,20260728_공공전산망 보안관리 실태(과학기술연구분야).pdf,공공전산망 보안관리 실태(과학기술연구분야),성과,정보통신,디지털감사3과,38,"정보시스템(37), 시스템운영(1)",9,89,영규정｣(우주청훈령):우주항공안전센터운영규정￭｢행정기관및공공기관정보시스템구축·운영지침｣(행정안전부고시):정보시스템구축·운영지침3)이부분,2_높음\20260728_공공전산망 보안관리 실태(과학기술연구분야).pdf
높음,2026,20260304_대한체육회 운영 및 관리·감독실태.pdf,대한체육회 운영 및 관리·감독실태,특정사안,문화/관광/체육,행정안전2과,38,"정보시스템(37), 시스템운영(1)",3,251,······················67[표27]윤리센터징계정보시스템입력누락현황·····························,2_높음\20260304_대한체육회 운영 및 관리·감독실태.pdf
높음,2024,20240508_중이온가속기 시설건설사업 비리 등 관련.pdf,중이온가속기 시설건설사업 비리 등 관련,국민제안,과학기술,국민제안1국4과,38,정보시스템(38),2,24,······················103.중이온가속기연구소정보시스템이중화미구성(주의·통보)··········19,2_높음\20240508_중이온가속기 시설건설사업 비리 등 관련.pdf
높음,2018,20181025_우정사업 경영관리실태.pdf,우정사업 경영관리실태,특정사안,기타,재정경제2과,38,"정보화사업(3), 정보시스템(32), 시스템운영(1), 시스템유지관리(2)",2,111,······················53(7)우편·금융등관련정보시스템의소프트웨어개발보안부적정········60(8)포상금집행부적정·,2_높음\20181025_우정사업 경영관리실태.pdf
높음,2019,20190214_지방세 및 부담금 부과·징수 실태(2. 지방재정 확충 분야).pdf,지방세 및 부담금 부과·징수 실태(2. 지방재정 확충 분야),특정사안,지방세,,36,"정보시스템(35), 시스템유지관리(1)",108,227,"준85)이20억원또는50억원이상인법인653개86)를대상으로지방세정보시스템(LTIS,LocalTaxInformationSystem)에연계",2_높음\20190214_지방세 및 부담금 부과·징수 실태(2. 지방재정 확충 분야).pdf
높음,2016,20160114_메르스 예방 및 대응실태.hwp,메르스 예방 및 대응실태,특정사안,보건/복지,사회복지1과,36,"정보시스템(29), 시스템운영(7)",50,10751,8.감염병예방정보시스템구축․운용부적정(통보)231,2_높음\20160114_메르스 예방 및 대응실태.hwp
높음,2017,20170329_서울대학교병원 전자의무기록 무단 열람 및 유출 실태.pdf,서울대학교병원 전자의무기록 무단 열람 및 유출 실태,특정사안,보건/복지,,35,"정보시스템(30), 시스템운영(5)",4,40,"그리고전자의무기록이저장․관리되고있는의료정보시스템운영과관련하여열람권한부여및관리의적정성,무단열람사전방지대책의적정성",2_높음\20170329_서울대학교병원 전자의무기록 무단 열람 및 유출 실태.pdf
높음,2021,20210527_군사시설 사업추진 및 관리실태.pdf,군사시설 사업추진 및 관리실태,성과,국방,,34,정보시스템(34),61,289,나를지칭하는개념이아니라국토의이용및관리업무와관련된정보를취급하는여러정보시스템을포괄하는개념임.이러한국토이용정보체계는한국토지정보시스템(KLIS,2_높음\20210527_군사시설 사업추진 및 관리실태.pdf
높음,2017,20170508_대구 동구 등 6개 기관 중점분야 기관운영감사.hwp,대구 동구 등 6개 기관 중점분야 기관운영감사,기관정기,지방자치단체,,34,"정보화사업(7), 정보시스템(26), 시스템운영(1)",33,4005,정보시스템(서버)구매예산편성관련지도·점검부적정(통보)41,2_높음\20170508_대구 동구 등 6개 기관 중점분야 기관운영감사.hwp
높음,2025,20251110_경찰청 및 서울·부산경찰청 정기감사.pdf,경찰청 및 서울·부산경찰청 정기감사,기관정기,치안/법무,행정안전3과,31,"정보화사업(1), 전산시스템(2), 정보시스템(26), 시스템운영(2)",3,202,(7)경찰청정보시스템개인정보보호조치미흡등[주의·통보·통보(시정완료)]········,2_높음\20251110_경찰청 및 서울·부산경찰청 정기감사.pdf
높음,2022,20220412_취업알선정보망 구축 및 관리실태.pdf,취업알선정보망 구축 및 관리실태,성과,노동,사회복지2과,31,"정보시스템(24), 시스템운영(7)",4,117,태백시지역의구인정보를추천한과정··31[그림5]외부일자리정보망구인정보시스템필터링과정······························,2_높음\20220412_취업알선정보망 구축 및 관리실태.pdf
높음,2018,20181219_차상위계층 지원사업 추진실태.pdf,차상위계층 지원사업 추진실태,성과,기타,사회복지1과,30,"전산시스템(1), 정보시스템(25), 시스템운영(4)",8,154,그림목차[그림1]발굴관리시스템운영절차·································,2_높음\20181219_차상위계층 지원사업 추진실태.pdf
높음,2017,20170531_2016회계연도 국가결산 검사 및 감사활동 결과.zip,2016회계연도 국가결산 검사 및 감사활동 결과,재무,재정,,30,"전산시스템(6), 정보시스템(20), 시스템운영(4)",26,496,정단위사업“장애인고용촉진기금운영비”는장애인고용확대를위해장애인고용정보시스템(e신고사이트)을안정적으로관리하여장애인고용행정서비스의효율성을극대,2_높음\20170531_2016회계연도 국가결산 검사 및 감사활동 결과.zip
높음,2021,20210907_도시지역 저류시설 안전관리실태.pdf,도시지역 저류시설 안전관리실태,성과,기타,,29,"정보시스템(27), 시스템유지관리(2)",14,70,물안전관리부실)제1·2종시설물에해당하는빗물펌프장중다수가시설물통합정보시스템에등록되어있지않아시설물안전법에따른점검·진단미실시③(피뢰설비유지관,2_높음\20210907_도시지역 저류시설 안전관리실태.pdf
높음,2022,20220630_경상북도 정기감사.zip,경상북도 정기감사,기관정기,지방자치단체,,28,정보시스템(28),9,104,속재산취득세부과업무를효과적으로할수있도록행정안전부장관에게표준지방세정보시스템의상속취득세신고안내및세원관리기능개선방안을마련하도록통보하는등조치기,2_높음\20220630_경상북도 정기감사.zip
