연도,파일명,감사사항,감사종류,감사분야,담당부서,분류,관련도,매칭키워드,총매칭수,첫매칭쪽,쪽수,본문글자수,정보화사업,전산시스템,정보시스템,시스템운영,시스템유지관리,참고:정보화,참고:전산,참고:소프트웨어,참고:데이터베이스,참고:홈페이지,참고:정보보안,참고:개인정보,참고:디지털,발췌,형식,ZIP내부파일,오류
2026,20260720_서울특별시교육청 정기감사.pdf,서울특별시교육청 정기감사,기관정기,교육,사회복지5과,관련,낮음(단순언급),정보시스템(4),4,6,98,97587,0,0,4,0,0,0,0,0,0,0,0,0,1,행동특성및종합의견:종합의견▪학교폭력대책심의위원회:학폭위▪교육행정정보시스템(NationalEducationInformationSystem,PDF,,
2026,20260716_신용보증기금 정기감사.pdf,신용보증기금 정기감사,기관정기,금융,산업금융4과,관련,중간,"전산시스템(4), 시스템운영(2)",6,4,132,125442,0,4,0,2,0,0,11,2,0,8,1,1,2,통한대출자금의용도외사용점검이적정하게이루어지고있는지?▪부실징후알람시스템운영이적정한지?▪매출채권보험이행관리가제대로이루어지고있는지?▪내부조직,PDF,,
2026,20260714_공직기강 점검 II.pdf,공직기강 점검 II,특정사안,공직기강,반부패조사3과,무관,,,0,,86,87272,0,0,0,0,0,0,1,0,0,1,0,1,2,,PDF,,
2026,20260709_음성군·금산군 정기감사.pdf,음성군·금산군 정기감사,기관정기,지방자치단체,지방행정2국1과,무관,,,0,,120,109835,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2026,20260707_독립기념관의 임원추천위원회 운영과 국가보훈부의 연구용역 관리·감독 관련.pdf,독립기념관의 임원추천위원회 운영과 국가보훈부의 연구용역 관리·감독 관련,국민제안,기타,국민제안1국5과,무관,,,0,,26,22576,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2026,20260702_생활폐기물 용역 낙찰자 선정 등 감사제보 조사.pdf,생활폐기물 용역 낙찰자 선정 등 감사제보 조사,국민제안,기타,국민제안2국3과,무관,,,0,,44,36267,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2026,20260630_평택시 정기감사.pdf,평택시 정기감사,기관정기,지방자치단체,지방행정1국4과,무관,,,0,,32,23153,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2026,20260617_공군본부 정기감사.pdf,공군본부 정기감사,기관정기,국방,외교국방2과,무관,,,0,,98,86640,0,0,0,0,0,5,5,1,1,0,0,0,0,,PDF,,
2026,20260615_인천국제공항공사 정기감사.pdf,인천국제공항공사 정기감사,기관정기,교통/물류,공공기관3과,무관,,,0,,107,107265,0,0,0,0,0,0,0,0,0,4,0,0,0,,PDF,,
2026,20260611_공공기관 회계감리.pdf,공공기관 회계감리,재무,재정,재정회계3과,관련,낮음(단순언급),정보시스템(4),4,33,89,89924,0,0,4,0,0,0,1,0,0,0,0,0,0,.15.04.74.23.44.17.810.75.79자료:금융통계정보시스템(금융감독원)통계자료재구성그러나기금일반대여금의고정이하여신비율은[,PDF,,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,주요 농업정책자금 지원사업 운영실태,성과,농림수산해양,산업금융1과,관련,높음,"전산시스템(14), 정보시스템(9)",23,215,335,341700,0,14,9,0,0,0,28,1,2,4,0,0,0,"식으로상환한경우그리고보증신청인이금융기관을직접방문하는대면방식의경우전산시스템상이체내역이남지않아“3항가”와같은분석이어려워,신규보증부대출금을교",PDF,,
2026,20260609_김해시 정기감사.pdf,김해시 정기감사,기관정기,지방자치단체,지방행정2국3과,관련,낮음(단순언급),정보시스템(4),4,17,74,68019,0,0,4,0,0,0,0,0,0,2,0,0,0,"⸱형벌란에‘견책,2017.2.28.’로기재되어있으며,표준지방인사정보시스템(새올행정시스템내인사랑)을통해정부포상대상자의징계이력을쉽게확인할수",PDF,,
2026,20260601_변상판정 청구사항 조사 및 처리.pdf,변상판정 청구사항 조사 및 처리,기타(서면),재정,재정회계1과,무관,,,0,,83,70403,0,0,0,0,0,0,2,0,0,0,0,0,0,,PDF,,
2026,20260529_2025회계연도 국가결산검사.zip,2025회계연도 국가결산검사,재무,재정,재정회계2과,관련,높음,"정보화사업(14), 전산시스템(6), 정보시스템(85), 시스템운영(13), 시스템유지관리(1)",119,10,1870,1458741,14,6,85,13,1,83,55,41,3,1,5,262,93,"지방공항건설사업추진실태(SOCⅣ공항-①,②,③)323.대국민행정정보시스템구축·운영실태484.정부평가제도운영관리실태575.상하수도분야국고",ZIP,2025회계연도 국가결산검사보고서(제1권).pdf | 2025회계연도 국가결산검사보고서(제2권).pdf,
2026,20260527_계약업무 등 취약분야 공직감찰.pdf,계약업무 등 취약분야 공직감찰,특정사안,공직기강,반부패조사2과,관련,낮음(단순언급),시스템운영(1),1,8,77,79721,0,0,0,1,0,0,17,10,0,7,0,0,0,"-6-서표준연계시스템개발,자체조달시스템운영기관통합협의등의업무를담당하고있다.그리고는조달청(정부대전청사)",PDF,,
2026,20260520_완도군 기관정기감사.pdf,완도군 기관정기감사,기관정기,지방자치단체,지방행정2국2과,무관,,,0,,16,13268,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2026,20260508_공직기강 점검 Ⅰ.pdf,공직기강 점검 Ⅰ,특정사안,공직기강,반부패조사2과,무관,,,0,,107,126032,0,0,0,0,0,0,0,19,0,5,0,3,0,,PDF,,
2026,20260507_한국수력원자력 기관정기감사.pdf,한국수력원자력 기관정기감사,기관정기,산업자원,공공기관1과,무관,,,0,,92,87856,0,0,0,0,0,0,6,1,0,0,0,0,0,,PDF,,
2026,20260506_양평군의 개발행위허가와 각종 업무 부당처리 관련.pdf,양평군의 개발행위허가와 각종 업무 부당처리 관련,국민제안,지방자치단체,국민제안1국2과,무관,,,0,,243,162986,0,0,0,0,0,0,1,0,0,0,0,1,0,,PDF,,
2026,20260428_의대정원 증원 추진 과정에 대한 감사.pdf,의대정원 증원 추진 과정에 대한 감사,국민제안,보건/복지,사회복지1과,관련,낮음(단순언급),시스템운영(2),2,197,435,533502,0,0,0,2,0,1,11,0,5,3,0,0,0,"다)할수있도록되어있다.그리고위규칙제6조제2항및｢진료의뢰·회송중계시스템운영등에관한세부사항｣(복지부고시)제2조에따르면,‘회송(回送)’은진료",PDF,,
2026,20260427_국세청 정기감사.pdf,국세청 정기감사,기관정기,국세,재정경제3과,관련,중간,"전산시스템(3), 정보시스템(6)",9,92,176,178782,0,3,6,0,0,1,34,0,0,1,23,5,0,계존비속간양도에대한증여추정규정의취지및입증책임관련판례자료:국세법령정보시스템판례번호주요내용대법원1991.5.28.선고90누10230판결▪(,PDF,,
2026,20260423_창원시·밀양시 정기감사.pdf,창원시·밀양시 정기감사,기관정기,지방자치단체,지방행정2국3과,무관,,,0,,103,94090,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2026,20260422_부정지출 및 재정누수 점검 Ⅱ.pdf,부정지출 및 재정누수 점검 Ⅱ,특정사안,재정,재정회계1과,관련,중간,정보시스템(5),5,20,60,56613,0,0,5,0,0,0,3,0,0,0,0,0,2,"가처리2)하여야하나,자동차등록정보를관리하는국토교통부의‘자동차관리정보시스템’이전기차보조금관리업무에활용되는‘무공해차통합누리집’과연계되어있지",PDF,,
2026,20260420_경기지역 건설사업 추진실태.pdf,경기지역 건설사업 추진실태,특정사안,건설/주택,지방건설안전감사과,무관,,,0,,78,74148,0,0,0,0,0,0,1,0,0,0,0,0,0,,PDF,,
2026,20260416_파주시·양주시 정기감사.pdf,파주시·양주시 정기감사 ,기관정기,지방자치단체,지방행정1국3과,관련,낮음(단순언급),정보시스템(1),1,74,112,99753,0,0,1,0,0,0,0,0,0,2,0,0,0,"무등을담당6)국토교통부에서운영하는공공서비스시스템으로,토지이용규제정보시스템과도시계획정보체계를통합하여토지이용규제정보등을확인가능",PDF,,
2026,20260413_노인복지제도 운영 및 관리 실태(장기요양보험·기초연금을 중심으로).pdf,노인복지제도 운영 및 관리 실태(장기요양보험·기초연금을 중심으로),성과,보건/복지,사회복지1과,관련,중간,"전산시스템(2), 정보시스템(14)",16,66,223,254360,0,2,14,0,0,0,67,0,0,11,0,0,0,"있고,｢노인보건복지사업안내｣(복지부업무지침)에따라그내용을사회보장정보시스템(행복e음)에입력하고있다.이에따라건보공단은사회보장정보시스템에입력",PDF,,
2026,20260331_상주시 대구광역시 수성구 정기감사.pdf,상주시 대구광역시 수성구 정기감사,기관정기,지방자치단체,지방행정2국4과,무관,,,0,,65,57363,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2026,20260324_인공지능 대비실태 Ⅱ(보건ㆍ의료분야 개인정보 데이터 제공 및 저작권 관리 분야).pdf,인공지능  대비실태 Ⅱ(보건ㆍ의료분야 개인정보 데이터 제공 및 저작권 관리 분야),성과,과학기술,미래전략감사2과,무관,,,0,,53,50282,0,0,0,0,0,0,4,3,1,0,2,75,11,,PDF,,
2026,20260319_조달청 정기감사.pdf,조달청 정기감사,기관정기,재정,재정경제1과,관련,높음,"정보시스템(26), 시스템운영(19), 시스템유지관리(6)",51,12,107,109875,0,0,26,19,6,1,5,6,1,0,0,0,1,결해업무위탁등:조달청은법령에근거가없는데도퇴직자가재취업한기관에내부정보시스템유지·관리업무를수의계약으로위탁한후당초계획서등과다른수탁기관의용역업,PDF,,
2026,20260318_변상판정 청구사항 조사 및 처리.pdf,변상판정 청구사항 조사 및 처리,기타(서면),기타,재정회계1과,무관,,,0,,21,20461,0,0,0,0,0,0,0,0,0,2,0,0,0,,PDF,,
2026,20260317_실감형 광화문 프로젝트 사업 추진실태 관련(공익감사청구).pdf,실감형 광화문 프로젝트 사업 추진실태 관련(공익감사청구),국민제안,기타,행정안전4과,관련,낮음(단순언급),정보화사업(1),1,21,97,111582,1,0,0,0,0,2,0,74,0,5,0,0,7,"분야-부분-분류에따라문화및관광분야등에해당하는사업으로서,건설사업,정보화사업(예산안편성세부지침의세부사업유형별지침에따라정보화예산으로편성되는사",PDF,,
2026,20260316_한강버스 및 여의도 선착장 조성사업 관련 국회감사요구.pdf,한강버스 및 여의도 선착장 조성사업 관련 국회감사요구,국민제안,기타,지방행정1국1과,무관,,,0,,128,130850,0,0,0,0,0,0,1,0,1,0,0,0,0,,PDF,,
2026,20260312_2024회계연도 공공기관 결산검사.pdf,2024회계연도 공공기관 결산검사,재무,재정,재정회계3과,무관,,,0,,96,86391,0,0,0,0,0,0,2,0,0,1,0,0,0,,PDF,,
2026,20260310_항공안전 취약분야 관리실태.pdf,항공안전 취약분야 관리실태,성과,교통/물류,국토환경5과,관련,중간,"전산시스템(17), 정보시스템(1), 시스템운영(1)",19,125,300,301077,0,17,1,1,0,0,19,0,0,3,0,2,0,)제5장1.마.(항공기정비기록의이력)에따르면항공사는ERP149)전산시스템(이하“전산시스템”이라한다)을갖추어요구되는정비기록을저장하고유지하,PDF,,
2026,20260309_철도시설 안전관리 실태 점검.pdf,철도시설 안전관리 실태 점검,특정사안,교통/물류,국토환경1과,관련,낮음(단순언급),전산시스템(2),2,47,136,146504,0,2,0,0,0,0,2,0,0,0,0,11,5,부서(·시설본부)에도부적합판정사실을통지하도록하고부적합판정결과를전산시스템에등록하는등관련업무를철저히하겠다는의견을제시하였다.㉯국토교통부국토,PDF,,
2026,20260306_국가보훈부의 이달의 독립운동가 선정 관련.pdf,국가보훈부의 이달의 독립운동가 선정 관련,국민제안,기타,국민제안1국5과,무관,,,0,,13,11099,0,0,0,0,0,0,0,0,0,1,0,0,0,,PDF,,
2026,"20260305_SOC Ⅱ-②,③ 고속국도(설계 및 시공단계) 건설사업관리 실태.zip","SOC Ⅱ-②,③ 고속국도(설계 및 시공단계) 건설사업관리 실태",성과,교통/물류,국토환경2과,무관,,,0,,126,121786,0,0,0,0,0,0,0,0,0,1,0,0,0,,ZIP,공개문 전문(SOC Ⅱ-② 고속국도(설계단계) 건설사업관리 실태).pdf | 공개문 전문(SOC Ⅱ-③ 고속국도(시공단계) 건설사업관리 실태).pdf,
2026,20260304_대한체육회 운영 및 관리·감독실태.pdf,대한체육회 운영 및 관리·감독실태,특정사안,문화/관광/체육,행정안전2과,관련,높음,"정보시스템(37), 시스템운영(1)",38,3,251,253319,0,0,37,1,0,1,0,0,0,5,0,6,0,······················67[표27]윤리센터징계정보시스템입력누락현황·····························,PDF,,
2026,20260225_공정거래위원회 정기감사.pdf,공정거래위원회 정기감사,기관정기,재정,재정경제2과,관련,중간,"전산시스템(1), 정보시스템(1), 시스템운영(2), 시스템유지관리(2)",6,35,124,120268,0,1,1,2,2,1,1,11,0,7,0,0,0,"지않은채위원회의에서해당내용을다시논의하고자관련매출액에포함7)는전산시스템교체를이유로2017년이전관련자료를제출하지않았고,는법인특판,직",PDF,,
2026,20260224_대전광역시 관내 국가하천 준설공사 관련.pdf,대전광역시 관내 국가하천 준설공사 관련,국민제안,환경,국민제안1국5과,무관,,,0,,19,16049,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2026,20260223_코로나19 대응실태 진단 및 분석.pdf,코로나19 대응실태 진단 및 분석,성과,보건/복지,사회복지3과,관련,높음,"정보화사업(1), 전산시스템(1), 정보시스템(122), 시스템운영(3)",127,10,571,638041,1,1,122,3,0,5,8,20,13,10,2,83,6,···············199[그림22]질병청의감염병관리통합정보시스템구축·운영현황····························,PDF,,
2026,20260212_지방공공기관 취약업무 점검.pdf,지방공공기관 취약업무 점검,특정사안,기타,지방행정1국1과,무관,,,0,,40,32469,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2026,20260211_함양군의 함양 사계 4U 조성사업 추진과 사업부지 매입 관련.pdf,함양군의 함양 사계 4U 조성사업 추진과 사업부지 매입 관련,국민제안,지방자치단체,국민제안1국4과,무관,,,0,,20,14792,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2026,20260209_대구지방국세청 정기감사.pdf,대구지방국세청 정기감사,기관정기,국세,재정경제4과,관련,낮음(단순언급),"전산시스템(1), 시스템운영(1)",2,108,139,126071,0,1,0,1,0,1,13,0,0,0,0,0,0,"무개요대구지방국세청과관하세무서는상속세등조사업무를수행하는한편,국세전산시스템(이하“NTIS”라한다)에입력된사인간채무에대해｢상속세및증여세사무",PDF,,
2026,20260204_방송통신심의위원회 위원장(류희림)의 민원사주와 은폐 의혹과 관련한 감사.pdf,방송통신심의위원회 위원장(류희림)의 민원사주와 은폐 의혹과 관련한 감사,국민제안,정보통신,행정안전1과,관련,낮음(단순언급),"전산시스템(2), 시스템운영(1)",3,70,97,102654,0,2,0,1,0,0,4,0,0,0,0,68,6,"-위원회정보접근통제시스템,고유식별정보암호화,보안프로그램설치등내부전산시스템보안및개인정보보호를위한기술적·관리적·물리적조치가엄격하게진행되고있",PDF,,
2026,20260203_한국무역보험공사 정기감사.pdf,한국무역보험공사 정기감사,기관정기,금융,산업금융3과,무관,,,0,,128,126527,0,0,0,0,0,0,1,0,0,1,0,0,0,,PDF,,
2026,20260129_대통령 관저 이전(국회감사요구) 관련.pdf,대통령 관저 이전(국회감사요구) 관련 ,국민제안,기타,국민제안1국1과,무관,,,0,,107,80077,0,0,0,0,0,0,0,0,0,0,0,0,4,,PDF,,
2026,20260128_여주시매립장주민협의체 지도·감독 관련.pdf,여주시매립장주민협의체 지도·감독 관련,국민제안,지방자치단체,국민제안1국3과,무관,,,0,,19,12276,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2026,20260127_개인정보 보호 및 관리실태.pdf,개인정보 보호 및 관리실태,성과,정보통신,디지털감사3과,관련,높음,"정보시스템(42), 시스템운영(25), 시스템유지관리(2)",69,8,91,86496,0,0,42,25,2,1,1,11,6,12,11,777,4,｣(개인정보위고시):개인정보위의조사및처분규정￭｢행정기관및공공기관정보시스템구축·운영지침｣(행정안전부고시):정보시스템구축·운영지침￭｢국가정,PDF,,
2026,20260121_2025년 국제형사재판소(ICC) 국제기구 감사.zip,2025년 국제형사재판소(ICC) 국제기구 감사,,외교,국제기구감사과,관련,낮음(단순언급),시스템유지관리(1),1,222,225,604936,0,0,0,0,1,0,0,0,0,2,0,0,0,이미비하고근거자료도없어검증불가▪(사례1)기금종료후예산에서지출되는시스템유지관리비에대해유사기금간판단상이(SpecialFundforSecurit,ZIP,1.(영문 전문) 2025년 국제형사재판소(ICC) 회계감사보고서.pdf | 2.(영문 전문) 2025년 피해자신탁기금(TFV) 회계감사보고서.pdf | 3.(영문 전문) 2025년 국제형사재판소 신탁기금 운용실태(Trust Fund) 성과감사보고서.pdf | 4.(국문요약)2024회계연도 국제형사재판소 및 피해자신탁기금 회계감사보고서.pdf | 5.(국문요약)국제형사재판소 신탁기금 운용실태 성과감사보고서.pdf,
2026,20260120_한국국제협력단 정기감사.pdf,한국국제협력단 정기감사,기관정기,외교,외교국방1과,관련,중간,"정보화사업(3), 정보시스템(4), 시스템운영(3)",10,5,92,98184,3,0,4,3,0,4,0,1,1,2,0,0,8,"년2조212억원2)공적개발원조사업추진실태(2023),공적개발원조정보화사업등추진실태(2024)등",PDF,,
2026,20260119_공공기관 인력운용 실태.pdf,공공기관 인력운용 실태,성과,노동,공공기관1과,관련,낮음(단순언급),정보시스템(1),1,127,444,555832,0,0,1,0,0,0,12,0,0,1,0,1,1,"-118-주:제22대국회,2025년6월기준임자료:국회의안정보시스템내용재구성이해관계기관및자문기관의견이번감사과정에서수집된이해관계기관",PDF,,
2026,20260115_국토교통부 기관정기감사(별도처리).pdf,국토교통부 기관정기감사(별도처리),기관정기,건설/주택,국토환경1과,관련,높음,"전산시스템(4), 정보시스템(34), 시스템운영(9)",47,2,62,59703,0,4,34,9,0,0,77,0,1,2,0,21,0,안미흡(통보)··················33(3)자동차관리정보시스템전산자료제공및관리소홀[주의·통보·통보(시정완료)]········,PDF,,
2026,20260112_국세 체납징수 관리실태.pdf,국세  체납징수 관리실태,성과,국세,재정경제3과,관련,중간,"전산시스템(8), 시스템운영(1)",9,15,304,342834,0,8,0,1,0,0,38,0,0,0,0,0,0,"를활용하기시작하였으며,2023년부채사후관리정보를체납징수에활용하는전산시스템을구축하는등체납징수와관련한인프라를지속적으로개선하고있다.[그림2]",PDF,,
2026,20260108_국방분야 공직기강 특별점검.pdf,국방분야 공직기강 특별점검,특정사안,국방,외교국방2과,관련,중간,"정보시스템(4), 시스템운영(1)",5,40,45,38567,0,0,4,1,0,0,2,0,2,1,0,0,0,"보고시문(국방부고시제2020-7호등)에따르면지형도면은토지이용규제정보시스템또는관련된지방자치단체,관할부대에비치하여이해관계인에게제공하고고시예",PDF,,
2026,20260107_순천시 강변로 녹지 조성사업과 기후대응 도시 숲 조성사업 관련.pdf,순천시 강변로 녹지 조성사업과 기후대응 도시 숲 조성사업 관련,국민제안,환경,국민제안1국4과,무관,,,0,,27,17770,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2026,20260105_인공지능 대비실태 Ⅰ(신뢰성 확보 분야).pdf,인공지능 대비실태 Ⅰ(신뢰성 확보 분야),성과,과학기술,미래전략감사1과,관련,낮음(단순언급),"정보화사업(1), 시스템운영(1)",2,59,65,59388,1,0,0,1,0,4,0,2,2,0,0,3,14,"%)이개발목표(80%이상)를충족하는것으로평가되었으나,2024년위시스템운영성과를분석한결과7,818건중4,201건만추천받은직종에취업하여실제",PDF,,
2025,20251230_한국마사회 정기감사.pdf,한국마사회 정기감사,기관정기,문화/관광/체육,공공기관4과,관련,중간,"전산시스템(3), 정보시스템(7), 시스템운영(1)",11,48,99,92953,0,3,7,1,0,0,3,0,0,1,2,0,0,말의경주전검사대상여부확인✓경마일당일에정해진시각부터말관계자가마사회전산시스템인R-man에접속하여대상마선정내역확인말관계자❖마방내채혈준비or,PDF,,
2025,20251229_국가보훈부 정기감사.pdf,국가보훈부 정기감사,기관정기,국방,외교국방3과,관련,낮음(단순언급),"전산시스템(1), 정보시스템(3)",4,14,64,61038,0,1,3,0,0,0,2,0,0,0,0,0,0,"이하,200%이하담당부서보상정책과생활안정과주:복지행정의원스톱종합전산시스템으로복지전반의정보를통합적으로관리․운영하는국가시스템자료:국가유공자",PDF,,
2025,20251227_AI디지털교과서 도입 관련(국회감사요구).pdf,AI디지털교과서 도입 관련(국회감사요구),국민제안,교육,사회복지5과,무관,,,0,,61,56739,0,0,0,0,0,0,5,1,0,1,0,1,68,,PDF,,
2025,20251226_동두천시의 구 성병관리소 부지와 공유재산 취득 업무처리 관련.pdf,동두천시의 구 성병관리소 부지와 공유재산 취득 업무처리 관련,국민제안,지방자치단체,국민제안1국3과,무관,,,0,,26,17555,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2025,20251223_농촌지역개발사업 추진실태.pdf,농촌지역개발사업 추진실태,특정사안,농림수산해양,공공기관3과,관련,낮음(단순언급),정보시스템(1),1,12,102,101165,0,0,1,0,0,0,0,0,0,0,0,0,0,"시점검체계구축으로사업관리를강화하고,그점검결과를농산어촌지역개발공간정보시스템(RAISE)에입력하고있다.기관별사후관리점검체계와점검결과에따른시",PDF,,
2025,20251222_경상남도 정기감사.pdf,경상남도 정기감사 ,기관정기,지방자치단체,지방행정2국3과,무관,,,0,,100,94714,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2025,20251218_고양시 정기감사.pdf,고양시 정기감사,기관정기,지방자치단체,지방행정1국3과,무관,,,0,,168,158875,0,0,0,0,0,0,25,0,0,4,0,0,0,,PDF,,
2025,20251215_한국자산관리공사 정기감사.pdf,한국자산관리공사 정기감사,기관정기,재정,산업금융4과,관련,중간,전산시스템(16),16,13,125,116452,0,16,0,0,0,0,20,0,0,0,0,0,1,"의경우국유지를무단점유한자들에게변상금을부과하는방안을마련하고국유재산전산시스템및실태조사방식을개선하는한편,압류가능한재산을압류하지않아소멸시효가완",PDF,,
2025,20251210_김용원 상임위원 등 국가인권위원회의 헌정부정 등의 행위와 관련한 감사.pdf,김용원 상임위원 등 국가인권위원회의 헌정부정 등의 행위와 관련한 감사,국민제안,기타,행정안전3과,무관,,,0,,105,124345,0,0,0,0,0,0,0,0,0,1,0,1,0,,PDF,,
2025,20251127_의대정원 증원 추진 과정에 대한 감사.pdf,의대정원 증원 추진 과정에 대한 감사,국민제안,보건/복지,사회복지1과,무관,,,0,,144,180056,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2025,20251125_감찰정보 등 공직비리 점검(Ⅱ).pdf,감찰정보 등 공직비리 점검(Ⅱ),특정사안,공직기강,,무관,,,0,,39,35581,0,0,0,0,0,0,0,0,0,2,0,0,0,,PDF,,
2025,20251120_학교신설 등 추진실태.pdf,학교신설 등 추진실태,특정사안,교육,사회복지5과,무관,,,0,,77,68124,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2025,20251118_어선 안전관리 실태점검.pdf,어선 안전관리 실태점검,특정사안,해양,국토환경4과,관련,낮음(단순언급),정보시스템(1),1,9,28,21750,0,0,1,0,0,0,0,0,0,0,0,0,0,"-Pass)]에서자동으로발신되는위치정보4)를수집하여어선출입항종합정보시스템(이하“출입항시스템”이라한다)을통해관리하고있고,2024년기준으로",PDF,,
2025,20251113_고용보험기금 재정관리실태.pdf,고용보험기금 재정관리실태,성과,노동,사회복지2과,관련,중간,"전산시스템(8), 정보시스템(2)",10,199,325,418761,0,8,2,0,0,0,15,0,0,6,0,0,0,"는이직자들에대해서는피보험단위기간충족여부를반드시확인하도록하고,관련전산시스템을구축하는등개선방안을마련하며(통보)(“3항”과관련하여)10년이상",PDF,,
2025,20251110_경찰청 및 서울·부산경찰청 정기감사.pdf,경찰청 및 서울·부산경찰청 정기감사,기관정기,치안/법무,행정안전3과,관련,높음,"정보화사업(1), 전산시스템(2), 정보시스템(26), 시스템운영(2)",31,3,202,196541,1,2,26,2,0,2,10,0,1,6,1,70,7,(7)경찰청정보시스템개인정보보호조치미흡등[주의·통보·통보(시정완료)]········,PDF,,
2025,20251106_해양수산부 기관정기감사.pdf,해양수산부 기관정기감사,기관정기,농림수산해양,국토환경4과,관련,중간,"정보시스템(10), 시스템운영(1)",11,20,150,182944,0,0,10,1,0,0,0,0,0,0,0,0,0,여금｢선박의입항및출항등에관한법률｣제4조및제50조에따라해운항만물류정보시스템(PORT-MIS)12)을통해출항시9)｢선박안전법｣제16조제3항,PDF,,
