연도,보고서,지적사항,처분,출처,제목내키워드
2025,20250530_2024회계연도 국가결산검사.zip,사고이월 가능 예산 불용처리 부적정(주의),,목차,
2025,20250530_2024회계연도 국가결산검사.zip,업무용 택시 이용관리 강화 필요(통보),,목차,
2025,20250530_2024회계연도 국가결산검사.zip,전기자동차 충전시설 활용률 제고 필요(통보),,목차,
2025,20250530_2024회계연도 국가결산검사.zip,선물신고 안내 강화 필요(통보),,목차,
2025,20250530_2024회계연도 국가결산검사.zip,자료 미반납 직원에 대한 대출제한 등 개선 필요(통보),,목차,
2025,20250530_2024회계연도 국가결산검사.zip,[부록1] 재무제표결산검사오류사항목록,,목차,
2025,20250530_2024회계연도 국가결산검사.zip,자산누락및중복계상등오류,,목차,
2025,20250530_2024회계연도 국가결산검사.zip,"자산재평가, 대손등자산평가관련오류",,목차,
2025,20250530_2024회계연도 국가결산검사.zip,"건설중인자산대체, 자본적지출등자산계상관련오류",,목차,
2025,20250530_2024회계연도 국가결산검사.zip,부채누락및중복계상등오류,,목차,
2025,20250530_2024회계연도 국가결산검사.zip,자산및부채계정분류오류,,목차,
2025,20250530_2024회계연도 국가결산검사.zip,"수익, 비용인식등오류",,목차,
2025,20250530_2024회계연도 국가결산검사.zip,합격한 근로자에 대한 채용 신체검사비용 부담 개선 필요,통보,통보,
2025,20250530_2024회계연도 국가결산검사.zip,운전직공무원 업무분장 부적정,주의,주의,
2025,20250530_2024회계연도 국가결산검사.zip,신규직원 멘토링제도 운영 개선 필요,통보,통보,
2025,20250530_2024회계연도 국가결산검사.zip,사고이월 가능 예산 불용처리 부적정,주의,주의,
2025,20250530_2024회계연도 국가결산검사.zip,업무용 택시 이용관리 강화 필요,통보,통보,
2025,20250530_2024회계연도 국가결산검사.zip,전기자동차 충전시설 활용률 제고 필요,통보,통보,
2025,20250530_2024회계연도 국가결산검사.zip,선물신고 안내 강화 필요,통보,통보,
2025,20250530_2024회계연도 국가결산검사.zip,자료 미반납 직원에 대한 대출제한 등 개선 필요,통보,통보,
2025,20250415_재외공관 등 운영실태.pdf,해외의 한국 관련 오류정보 대응,,목차,
2025,20250415_재외공관 등 운영실태.pdf,[표 20] 바이오정보 감식 실패 현황,,목차,
2025,20250415_재외공관 등 운영실태.pdf,[표 39] 한국바로알림서비스에 접수·발굴된 오류 사례,,목차,
2025,20250415_재외공관 등 운영실태.pdf,[표 44] 주아랍에미리트문화원 주거보조비 과다 지급 명세,,목차,
2024,20240827_공적개발원조 정보화사업 등 추진실태.pdf,[표 7] 협력단 구축 정보시스템의 활용 미흡 실태 요약,,목차,정보시스템
2024,20240827_공적개발원조 정보화사업 등 추진실태.pdf,[표 10] 정보시스템 구축사업의 예비조사 운영 미흡에 따른 시스템 활용 미흡 사업,,목차,정보시스템
2024,20240827_공적개발원조 정보화사업 등 추진실태.pdf,[표 19] 수원국의 시스템 구축사업 운영유지 부실 내역,,목차,
2024,20240627_산사태·산불 등 산림재난 대비실태.pdf,"감사결과, [표 9]와 같이 2개 분야에서 총 20건의 제도 개선",통보,통보,
2024,20240530_2023회계연도 국가결산검사.zip,계약체결 통지 등 서면감사 처리기준 마련 필요(통보),,목차,
2024,20240530_2023회계연도 국가결산검사.zip,감사수행 시 이중 전화번호(투넘버) 서비스 지원 필요(통보),,목차,
2024,20240530_2023회계연도 국가결산검사.zip,T/F 활동에 대한 교육시간 인정 미흡(통보),,목차,
2024,20240530_2023회계연도 국가결산검사.zip,[부록1] 재무제표결산검사오류사항목록,,목차,
2024,20240530_2023회계연도 국가결산검사.zip,자산누락및중복계상등오류,,목차,
2024,20240530_2023회계연도 국가결산검사.zip,"자산재평가, 대손등자산평가관련오류",,목차,
2024,20240530_2023회계연도 국가결산검사.zip,"건설중인자산대체, 자본적지출등자산계상관련오류",,목차,
2024,20240530_2023회계연도 국가결산검사.zip,부채누락및중복계상등오류,,목차,
2024,20240530_2023회계연도 국가결산검사.zip,자산및부채계정분류오류,,목차,
2024,20240530_2023회계연도 국가결산검사.zip,"수익, 비용인식등오류",,목차,
2024,20240530_2023회계연도 국가결산검사.zip,계약체결 통지 등 서면감사 처리기준 마련 필요,통보,통보,
2024,20240530_2023회계연도 국가결산검사.zip,감사수행 시 이중 전화번호(투넘버) 서비스 지원 필요,통보,통보,
2024,20240530_2023회계연도 국가결산검사.zip,T/F 활동에 대한 교육시간 인정 미흡,통보,통보,
2024,20240523_지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로).pdf,2-1) 효율적인 지능정보화사업 점검·분석 등을 위한 정보시스템 개선 필요,,목차,"정보화사업,정보시스템"
2024,20240523_지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로).pdf,2-2) 지방 공공기관의 지능정보화사업에 대한 관리 강화 필요,,목차,정보화사업
2024,20240523_지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로).pdf,2-3) 부처 간 법령적용 이견으로 교육정보화사업 실행계획 관리체계 누락,,목차,정보화사업
2024,20240523_지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로).pdf,3-1) 지방 지능정보화사업에 대한 예비검토 확대 운영 필요,,목차,정보화사업
2024,20240523_지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로).pdf,3-2) 지능정보화사업 추진 기관 간 협력·조정 제도 활성화 필요,,목차,정보화사업
2024,20240523_지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로).pdf,4-1) AI 데이터사업 성과 제고를 위한 유사·중복성 검증 및 특별점검 필요,,목차,
2024,20240523_지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로).pdf,4-3) 행정·공공기관 재해복구시스템 구축·운용 개선 필요,,목차,
2024,20240523_지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로).pdf,[사례 Ⅲ-4-2] AI 데이터 활용 곤란,,목차,
2024,20240523_지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로).pdf,[사례 Ⅲ-4-3] 시스템 오류로 AI 데이터 개방 미흡,,목차,
2024,20240523_지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로).pdf,[사례 Ⅲ-4-5] 최종평가 시 품질검증 결과 반영 미흡,,목차,
2024,20240523_지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로).pdf,[사례 Ⅲ-4-6] 품질 미달성 AI 데이터 평가 및 보완 미흡,,목차,
2024,20240523_지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로).pdf,[사례 Ⅲ-4-7] 개인정보 비식별화 조치 미흡,,목차,
2024,20240523_지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로).pdf,[표 Ⅲ-2-12] 지방 실행계획 유형별 제출 누락 사유,,목차,
2024,20240523_지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로).pdf,[표 Ⅲ-4-7] 사업별 데이터 수집 비용 중복 현황,,목차,
2024,20240523_지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로).pdf,[표 Ⅲ-4-9] AI 데이터사업 공개산출물의 부실 개방 현황,,목차,
2024,20240523_지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로).pdf,[표 Ⅲ-4-13] 품질 미달성 AI 데이터의 보완 지연 기간 현황,,목차,
2023,20230925_소극행정 개선 등 규제개혁 추진실태.pdf,미지급 보험금 등 숨은 금융자산의 마이데이터 연계 필요(통보),,목차,
2023,20230925_소극행정 개선 등 규제개혁 추진실태.pdf,미지급 보험금 등 숨은 금융자산의 마이데이터 연계 필요,통보,통보,
2023,20230531_2022회계연도 국가결산검사.zip,수견직원의 원 소속기관 민원업무 취급 부적정(주의),,목차,
2023,20230531_2022회계연도 국가결산검사.zip,수시인사교류 시기 확대 필요(통보),,목차,
2023,20230531_2022회계연도 국가결산검사.zip,소모품 물품 관리 부적정(주의),,목차,
2023,20230531_2022회계연도 국가결산검사.zip,영문 감사연보 활용방안 미흡(통보),,목차,
2023,20230531_2022회계연도 국가결산검사.zip,출산축하 복지점수 적극 안내 필요(통보),,목차,
2023,20230531_2022회계연도 국가결산검사.zip,｢공직자의 이해충돌 방지법｣ 관련 서식 징구 미흡(주의),,목차,
2023,20230531_2022회계연도 국가결산검사.zip,[부록1] 재무제표결산검사오류사항목록,,목차,
2023,20230531_2022회계연도 국가결산검사.zip,자산누락및중복계상등오류,,목차,
2023,20230531_2022회계연도 국가결산검사.zip,"자산재평가, 대손등자산평가관련오류",,목차,
2023,20230531_2022회계연도 국가결산검사.zip,"건설중인자산대체, 자본적지출등자산계상관련오류",,목차,
2023,20230531_2022회계연도 국가결산검사.zip,부채누락및중복계상등오류,,목차,
2023,20230531_2022회계연도 국가결산검사.zip,자산및부채계정분류오류,,목차,
2023,20230531_2022회계연도 국가결산검사.zip,"수익, 비용인식등오류",,목차,
2023,20230531_2022회계연도 국가결산검사.zip,수견직원의 원 소속기관 민원업무 취급 부적정,주의,주의,
2023,20230531_2022회계연도 국가결산검사.zip,수시인사교류 시기 확대 필요,통보,통보,
2023,20230531_2022회계연도 국가결산검사.zip,소모품 물품 관리 부적정,주의,주의,
2023,20230531_2022회계연도 국가결산검사.zip,영문 감사연보 활용방안 미흡,통보,통보,
2023,20230531_2022회계연도 국가결산검사.zip,출산축하 복지점수 적극 안내 필요,통보,통보,
2023,20230531_2022회계연도 국가결산검사.zip,관련 서식 징구 미흡,주의,주의,
2022,20221116_이천시 정기감사.pdf,경기도 일반용역 적격심사 세부기준 개선 필요(통보),,목차,
2022,20221116_이천시 정기감사.pdf,경기도 일반용역 적격심사 세부기준 개선 필요,통보,통보,
2022,20221116_이천시 정기감사.pdf,건설업 등록기준 위반 혐의업체 실태조사 등 업무처리 소홀,주의,주의,
2022,20220908_공공앱 구축·운영 실태.pdf,[표11] 민간서비스와중복·유사한사례,,목차,
2022,20220908_공공앱 구축·운영 실태.pdf,[표12] 사전협의검토누락및검토결과미반영사례,,목차,
2022,20220908_공공앱 구축·운영 실태.pdf,[표13] 사후정비누락사례,,목차,
2022,20220908_공공앱 구축·운영 실태.pdf,[표14] 사후정비미이행공공앱,,목차,
2022,20220908_공공앱 구축·운영 실태.pdf,[표24] 지연시간(종착역기준)별열차지연운행현황,,목차,
2022,20220908_공공앱 구축·운영 실태.pdf,[표31] 보은군자연휴양림관리자의부당예약현황,,목차,
2022,20220908_공공앱 구축·운영 실태.pdf,[표37] 성과측정값오류,,목차,
2022,20220906_아동권리보장원과 한국자활복지개발원에 대한 감사.pdf,지역아동센터 평가지표 및 평가방법 개선 필요(통보),,목차,
2022,20220906_아동권리보장원과 한국자활복지개발원에 대한 감사.pdf,자활정보시스템의 자활지원사업 관리기능 미흡(통보),,목차,정보시스템
2022,20220906_아동권리보장원과 한국자활복지개발원에 대한 감사.pdf,자활기금 위탁운영 추진 및 집행관리 미흡(통보),,목차,
2022,20220906_아동권리보장원과 한국자활복지개발원에 대한 감사.pdf,희망키움뱅크사업 채권관리 미흡(주의),,목차,
2022,20220906_아동권리보장원과 한국자활복지개발원에 대한 감사.pdf,유급휴가 및 수당 등 복리후생제도 운영 부적정(통보),,목차,
2022,20220906_아동권리보장원과 한국자활복지개발원에 대한 감사.pdf,지역아동센터 평가지표 및 평가방법 개선 필요,통보,통보,
2022,20220906_아동권리보장원과 한국자활복지개발원에 대한 감사.pdf,자활정보시스템의 자활지원사업 관리기능 미흡,통보,통보,정보시스템
2022,20220906_아동권리보장원과 한국자활복지개발원에 대한 감사.pdf,자활기금 위탁운영 추진 및 집행관리 미흡,통보,통보,
2022,20220906_아동권리보장원과 한국자활복지개발원에 대한 감사.pdf,희망키움뱅크사업 채권관리 미흡,주의,주의,
2022,20220906_아동권리보장원과 한국자활복지개발원에 대한 감사.pdf,유급휴가 및 수당 등 복리후생제도 운영 부적정,통보,통보,
2022,20220630_경상북도 정기감사.zip,지방투자촉진보조금 집행 업무 부적정(주의),,목차,
2022,20220630_경상북도 정기감사.zip,지방자치단체 기금 예치 및 운용 부적정(통보),,목차,
2022,20220630_경상북도 정기감사.zip,계약보증서 확보 및 보증기간 연장 업무 소홀(주의),,목차,
2022,20220630_경상북도 정기감사.zip,지방투자촉진보조금 집행 업무 부적정,주의,주의,
2022,20220630_경상북도 정기감사.zip,지방자치단체 기금 예치 및 운용 부적정,통보,통보,
2022,20220630_경상북도 정기감사.zip,계약보증서 확보 및 보증기간 연장 업무 소홀,주의,주의,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,위기아동 발굴·지원사업 실태조사 관리 부적정(통보),,목차,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,행정정보 공동이용 활용 미흡(통보),,목차,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,주말․체험영농 목적의 농지취득자격증명을 위한 행정시스템 개선 필요(통보),,목차,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,국유재산 관리업무 지도·감독 부적정(통보),,목차,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,공유재산 실태조사 등 재산관리 업무 부적정(통보),,목차,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,지역개발사업 관련 생태계보전협력금 미부과 등 관리 부적정(시정),,목차,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,개발행위에 따른 개발부담금 결정·부과 부적정(통보),,목차,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,상수도 원인자부담금 부과·징수 부적정(주의),,목차,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,환지 청산금 징수 및 교부 업무처리 부적정(주의),,목차,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,공유재산 대부료 체납 관리 부적정(통보),,목차,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,계약보증금 세입조치 업무 부적정(주의),,목차,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,채권압류된 공사대금 지급 부적정(주의),,목차,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,위기아동 발굴·지원사업 실태조사 관리 부적정,통보,통보,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,행정정보 공동이용 활용 미흡,통보,통보,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,체험영농 목적의 농지취득자격증명을 위한 행정시스템 개선 필요,통보,통보,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,장기 미집행 도시계획시설 재산세 부과·감면시스템 개선 미흡,통보,통보,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,건설업 실태조사 대상업체 추출 및 행정처분 지도·감독 부적정,통보,통보,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,국유재산 관리업무 지도·감독 부적정,통보,통보,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,공유재산 실태조사 등 재산관리 업무 부적정,통보,통보,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,지역개발사업 관련 생태계보전협력금 미부과 등 관리 부적정,시정,시정,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,개발행위에 따른 개발부담금 결정·부과 부적정,통보,통보,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,상수도 원인자부담금 부과·징수 부적정,주의,주의,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,환지 청산금 징수 및 교부 업무처리 부적정,주의,주의,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,공유재산 대부료 체납 관리 부적정,통보,통보,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,계약보증금 세입조치 업무 부적정,주의,주의,
2022,20220609_지방자치단체 소극행정 실태 점검.pdf,채권압류된 공사대금 지급 부적정,주의,주의,
2022,20220531_2021회계연도 국가결산검사.zip,숲가꾸기 사업의 고용부담금 예산편성 부적정(주의),,목차,
2022,20220531_2021회계연도 국가결산검사.zip,업무추진비 집행 부적정(주의),,목차,
2022,20220531_2021회계연도 국가결산검사.zip,기본조사설계비 자체전용 부적정(주의),,목차,
2022,20220531_2021회계연도 국가결산검사.zip,용역계약 관련 업무 처리 부적정(주의),,목차,
2022,20220531_2021회계연도 국가결산검사.zip,관서운영경비 집행 부적정(주의),,목차,
2022,20220531_2021회계연도 국가결산검사.zip,수의계약 업무 처리 부적정(주의),,목차,
2022,20220531_2021회계연도 국가결산검사.zip,숲가꾸기 사업의 고용부담금 예산편성 부적정,주의,주의,
